geoid10,nhid,nhname
8041004009,,
8041004100,,
8041004200,,
8041004300,,
8041004401,,
8041004402,,
8041004403,,
8041004501,,
8041004502,,
8041004503,,
8041004506,,
8041004507,,
8041004508,,
8041004510,,
8041004511,,
8041004601,,
8041004602,,
8041004603,,
8041004701,,
8041004702,,
8041004703,,
8041004705,,
8041004706,,
8041004800,,
8041004901,,
8041004902,,
8041005000,,
8041005104,,
8041005105,,
8041005106,,
8041005107,,
8041005108,,
8041005109,,
8041005110,,
8041005111,,
8041005201,,
8041005202,,
8041005300,,
8041005400,,
8041005501,,
8041005502,,
8041005601,,
8041005602,,
8041005700,,
8041005800,,
8041005900,,
8041006000,,
8041006100,,
8041006200,,
8041006301,,
8041006302,,
8041006400,,
8041006501,,
8041006502,,
8041006600,,
8041006700,,
8041006801,,
8041006802,,
8041006901,,
8041006902,,
8041007000,,
8041007101,,
8041007102,,
8041007201,,
8041007202,,
8041007300,,
8041007400,,
8041007500,,
8041007601,,
8041007602,,
8041007700,,
8041007800,,
8041007900,,
8041008000,,
8043978100,,
8043978200,,
8043978300,,
8043978400,,
8043978500,,
8043978600,,
8043978800,,
8043979000,,
8043979100,,
8043979200,,
8043979400,,
8043980100,,
8043980200,,
8043980300,,
8045951600,,
8045951701,,
8045951702,,
8045951802,,
8045951803,,
8045951804,,
8045951901,,
8045951902,,
8045952001,,
8045952002,,
8045952100,,
8047013800,,
8049000100,,
8049000201,,
8049000202,,
8051963600,,
8051963700,,
8051963800,,
8051963900,,
8053973100,,
8055960600,,
8055960900,,
8057955600,,
8059009806,225,Applewood
8059009807,264,Northwest Lakewood
8059009808,246,Golden Gate Canyon and Coal Creek Canyon
8059009815,131,South Standley Lake
8059009823,224,Walnut Grove
8059009824,224,Walnut Grove
8059009827,257,Oakhurst Park
8059009828,257,Oakhurst Park
8059009829,237,North StandleyLake Open Space Park
8059009830,251,Dover Square Park
8059009831,251,Dover Square Park
8059009832,130,Far Horizons
8059009833,141,Lake Arbor
8059009834,148,Pomona
8059009835,300,Southwest Standley Lake
8059009836,140,Van Aredale and Harvest
8059009837,137,Leyden
8059009838,260,Westwoods Park
8059009839,259,Yankee Doodle Park
8059009840,259,Yankee Doodle Park
8059009841,133,Northwest Arvada
8059009842,262,Long Lake Ranch Park and North Table Mountain
8059009843,262,Long Lake Ranch Park and North Table Mountain
8059009845,230,Genesee Park
8059009846,230,Genesee Park
8059009847,231,Bell Park
8059009848,248,Elk Meadow Park
8059009849,227,Lakota Hills
8059009850,230,Genesee Park
8059009851,139,Wyndam Park
8059009852,261,Ralston
8059009900,227,Lakota Hills
8059010000,227,Lakota Hills
8059010100,226,East Old Golden RD
8059010205,132,Sierra Vista
8059010206,147,Clubcrest
8059010208,143,Hackberry Hill
8059010209,299,Highlands
8059010210,146,Scenic Heights
8059010211,258,Arvada Center
8059010212,144,Larmar Heights
8059010213,145,Homestead Park and Columbine
8059010303,133,Northwest Arvada
8059010304,134,Alta Vista and Memorial Park
8059010305,134,Alta Vista and Memorial Park
8059010306,135,Allendale
8059010307,135,Allendale
8059010308,136,Skiline
8059010402,136,Skiline
8059010403,228,Fruitdale
8059010405,145,Homestead Park and Columbine
8059010406,145,Homestead Park and Columbine
8059010502,265,Northeast Lakewood
8059010503,264,Northwest Lakewood
8059010504,264,Northwest Lakewood
8059010603,265,Northeast Lakewood
8059010604,229,Apel Bacher Park
8059010701,265,Northeast Lakewood
8059010702,265,Northeast Lakewood
8059010801,264,Northwest Lakewood
8059010901,264,Northwest Lakewood
8059010902,264,Northwest Lakewood
8059011000,263,Charles Whitlock Rec Park and Morse Park
8059011100,264,Northwest Lakewood
8059011202,266,Okane Park
8059011300,265,Northeast Lakewood
8059011401,265,Northeast Lakewood
8059011402,265,Northeast Lakewood
8059011550,265,Northeast Lakewood
8059011601,266,Okane Park
8059011602,266,Okane Park
8059011701,268,South Lakewood
8059011702,268,South Lakewood
8059011708,267,Hayden Green Mountain Park
8059011709,268,South Lakewood
8059011710,268,South Lakewood
8059011711,267,Hayden Green Mountain Park
8059011712,267,Hayden Green Mountain Park
8059011720,267,Hayden Green Mountain Park
8059011721,267,Hayden Green Mountain Park
8059011723,267,Hayden Green Mountain Park
8059011724,267,Hayden Green Mountain Park
8059011725,267,Hayden Green Mountain Park
8059011726,223,Hutchinson Park
8059011727,268,South Lakewood
8059011728,268,South Lakewood
8059011729,268,South Lakewood
8059011730,268,South Lakewood
8059011731,268,South Lakewood
8059011732,267,Hayden Green Mountain Park
8059011733,267,Hayden Green Mountain Park
8059011803,268,South Lakewood
8059011804,268,South Lakewood
8059011805,266,Okane Park
8059011806,266,Okane Park
8059011904,242,Mount Carbon Park and Westgate
8059011951,268,South Lakewood
8059012022,238,Ken Caryl Ranch
8059012023,245,Hine Lake
8059012024,238,Ken Caryl Ranch
8059012026,231,Bell Park
8059012027,249,Mount Falcon Canyon Park
8059012030,232,Alder-Three Sisters Park
8059012031,252,Shadow Mountain
8059012032,250,Berrian Mountain
8059012033,256,Meyer Ranch Park
8059012034,238,Ken Caryl Ranch
8059012035,238,Ken Caryl Ranch
8059012036,254,Deer Creek Canyon Park and James Q Newton Park
8059012037,253,Pine Junction Area and Kings Valley
8059012038,243,Harriman Lake
8059012039,243,Harriman Lake
8059012041,243,Harriman Lake
8059012042,243,Harriman Lake
8059012043,243,Harriman Lake
8059012044,245,Hine Lake
8059012045,245,Hine Lake
8059012046,245,Hine Lake
8059012047,245,Hine Lake
8059012048,236,Clement Park
8059012049,234,Bow Mar
8059012050,234,Bow Mar
8059012051,234,Bow Mar
8059012052,245,Hine Lake
8059012053,244,Wayside Meadows Park
8059012054,234,Bow Mar
8059012055,244,Wayside Meadows Park
8059012057,244,Wayside Meadows Park
8059012058,255,West Pike National Forest
8059012059,244,Wayside Meadows Park
8059012060,244,Wayside Meadows Park
8059015800,264,Northwest Lakewood
8059015900,242,Mount Carbon Park and Westgate
8059060300,257,Oakhurst Park
8059060400,257,Oakhurst Park
8059060500,138,Whisper Creek
8059980000,312,Federal Center
8059980400,242,Mount Carbon Park and Westgate
8061960100,,
8063962100,,
8063962200,,
8063962300,,
8065961700,,
8065961900,,
8067940300,,
8067940400,,
8067970600,,
8067970701,,
8067970703,,
8067970704,,
8067970800,,
8067970900,,
8067971000,,
8067971100,,
8069000100,,
8069000201,,
8069000202,,
8069000300,,
8069000401,,
8069000402,,
8069000503,,
8069000504,,
8069000505,,
8069000506,,
8069000600,,
8069000700,,
8069000801,,
8069000802,,
8069000901,,
8069000902,,
8069001003,,
8069001004,,
8069001007,,
8069001008,,
8069001009,,
8069001010,,
8069001104,,
8069001106,,
8069001107,,
8069001109,,
8069001110,,
8069001111,,
8069001112,,
8069001113,,
8069001114,,
8069001301,,
8069001304,,
8069001305,,
8069001306,,
8069001307,,
8069001308,,
8069001601,,
8069001602,,
8069001603,,
8069001605,,
8069001606,,
8069001607,,
8069001608,,
8069001704,,
8069001706,,
8069001707,,
8069001708,,
8069001709,,
8069001804,,
8069001806,,
8069001807,,
8069001808,,
8069001809,,
8069001901,,
8069001902,,
8069001903,,
8069002005,,
8069002007,,
8069002008,,
8069002010,,
8069002011,,
8069002300,,
8069002401,,
8069002402,,
8069002501,,
8069002502,,
8069002503,,
8069002600,,
8069002700,,
8069002801,,
8069002802,,
8069002803,,
8071000100,,
8071000200,,
8071000300,,
8071000400,,
8071000500,,
8071000800,,
8073961700,,
8073961800,,
8075965900,,
8075966000,,
8075966100,,
8075966200,,
8075966300,,
8075966400,,
8077000200,,
8077000300,,
8077000400,,
8077000500,,
8077000601,,
8077000602,,
8077000700,,
8077000800,,
8077000900,,
8077001001,,
8077001002,,
8077001101,,
8077001102,,
8077001200,,
8077001301,,
8077001302,,
8077001402,,
8077001403,,
8077001404,,
8077001501,,
8077001502,,
8077001600,,
8077001702,,
8077001703,,
8077001705,,
8077001706,,
8077001707,,
8077001800,,
8077001900,,
8079973600,,
8081000300,,
8081000400,,
8081000500,,
8081000600,,
8083941100,,
8083969000,,
8083969100,,
8083969200,,
8083969300,,
8083969400,,
8083969600,,
8085966100,,
8085966201,,
8085966202,,
8085966300,,
8085966400,,
8085966501,,
8085966502,,
8085966503,,
8085966601,,
8085966602,,
8087000100,,
8087000200,,
8087000300,,
8087000400,,
8087000500,,
8087000600,,
8087000700,,
8087000800,,
8089968000,,
8089968100,,
8089968200,,
8089968300,,
8089968400,,
8089968500,,
8089968600,,
8091967600,,
8093000100,,
8093000200,,
8093000300,,
8093000400,,
8093000500,,
8095967600,,
8095967700,,
8097000100,,
8097000401,,
8097000402,,
8097000500,,
8099000100,,
8099000200,,
8099000300,,
8099000600,,
8099000700,,
8101000100,,
8101000200,,
8101000300,,
8101000400,,
8101000500,,
8101000600,,
8101000800,,
8101000902,,
8101000903,,
8101000904,,
8101000905,,
8101001000,,
8101001100,,
8101001200,,
8101001400,,
8101001500,,
8101001600,,
8101001700,,
8101001800,,
8101001900,,
8101002000,,
8101002100,,
8101002200,,
8101002300,,
8101002400,,
8101002500,,
8101002600,,
8101002700,,
8101002801,,
8101002802,,
8101002804,,
8101002806,,
8101002807,,
8101002808,,
8101002901,,
8101002903,,
8101002906,,
8101002911,,
8101002912,,
8101002913,,
8101002914,,
8101002915,,
8101002916,,
8101002917,,
8101002918,,
8101003001,,
8101003004,,
8101003103,,
8101003104,,
8101003105,,
8101003106,,
8101003200,,
8101003500,,
8101003600,,
8101980100,,
8103951100,,
8103951200,,
8105976700,,
8105976800,,
8105977000,,
8107000100,,
8107000200,,
8107000300,,
8107000400,,
8107000500,,
8107000600,,
8107000700,,
8107000800,,
8109977600,,
8109977700,,
8111972600,,
8113968101,,
8113968102,,
8113968103,,
8113968200,,
8115968300,,
8117000100,,
8117000200,,
8117000300,,
8117000401,,
8117000402,,
8119010103,,
8119010104,,
8119010105,,
8119010106,,
8119010201,,
8119010202,,
8121924100,,
8121924200,,
8123000100,,
8123000200,,
8123000300,,
8123000401,,
8123000402,,
