Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T147_001
8001007801,14000US08001007801,"Census Tract 78.01, Adams County, Colorado","Census Tract 78.01, Adams County, Colorado",co,140,0,ACSSF,1074,,,,,8,1,,,,7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
8001007802,14000US08001007802,"Census Tract 78.02, Adams County, Colorado","Census Tract 78.02, Adams County, Colorado",co,140,0,ACSSF,1075,,,,,8,1,,,,7802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001007900,14000US08001007900,"Census Tract 79, Adams County, Colorado","Census Tract 79, Adams County, Colorado",co,140,0,ACSSF,1076,,,,,8,1,,,,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008000,14000US08001008000,"Census Tract 80, Adams County, Colorado","Census Tract 80, Adams County, Colorado",co,140,0,ACSSF,1077,,,,,8,1,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008100,14000US08001008100,"Census Tract 81, Adams County, Colorado","Census Tract 81, Adams County, Colorado",co,140,0,ACSSF,1078,,,,,8,1,,,,8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
8001008200,14000US08001008200,"Census Tract 82, Adams County, Colorado","Census Tract 82, Adams County, Colorado",co,140,0,ACSSF,1079,,,,,8,1,,,,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
8001008308,14000US08001008308,"Census Tract 83.08, Adams County, Colorado","Census Tract 83.08, Adams County, Colorado",co,140,0,ACSSF,1080,,,,,8,1,,,,8308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
8001008309,14000US08001008309,"Census Tract 83.09, Adams County, Colorado","Census Tract 83.09, Adams County, Colorado",co,140,0,ACSSF,1081,,,,,8,1,,,,8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
8001008353,14000US08001008353,"Census Tract 83.53, Adams County, Colorado","Census Tract 83.53, Adams County, Colorado",co,140,0,ACSSF,1082,,,,,8,1,,,,8353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
8001008401,14000US08001008401,"Census Tract 84.01, Adams County, Colorado","Census Tract 84.01, Adams County, Colorado",co,140,0,ACSSF,1083,,,,,8,1,,,,8401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
8001008402,14000US08001008402,"Census Tract 84.02, Adams County, Colorado","Census Tract 84.02, Adams County, Colorado",co,140,0,ACSSF,1084,,,,,8,1,,,,8402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
8001008505,14000US08001008505,"Census Tract 85.05, Adams County, Colorado","Census Tract 85.05, Adams County, Colorado",co,140,0,ACSSF,1085,,,,,8,1,,,,8505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
8001008506,14000US08001008506,"Census Tract 85.06, Adams County, Colorado","Census Tract 85.06, Adams County, Colorado",co,140,0,ACSSF,1086,,,,,8,1,,,,8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
8001008507,14000US08001008507,"Census Tract 85.07, Adams County, Colorado","Census Tract 85.07, Adams County, Colorado",co,140,0,ACSSF,1087,,,,,8,1,,,,8507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
8001008508,14000US08001008508,"Census Tract 85.08, Adams County, Colorado","Census Tract 85.08, Adams County, Colorado",co,140,0,ACSSF,1088,,,,,8,1,,,,8508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
8001008523,14000US08001008523,"Census Tract 85.23, Adams County, Colorado","Census Tract 85.23, Adams County, Colorado",co,140,0,ACSSF,1089,,,,,8,1,,,,8523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
8001008524,14000US08001008524,"Census Tract 85.24, Adams County, Colorado","Census Tract 85.24, Adams County, Colorado",co,140,0,ACSSF,1090,,,,,8,1,,,,8524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008526,14000US08001008526,"Census Tract 85.26, Adams County, Colorado","Census Tract 85.26, Adams County, Colorado",co,140,0,ACSSF,1091,,,,,8,1,,,,8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
8001008529,14000US08001008529,"Census Tract 85.29, Adams County, Colorado","Census Tract 85.29, Adams County, Colorado",co,140,0,ACSSF,1092,,,,,8,1,,,,8529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008533,14000US08001008533,"Census Tract 85.33, Adams County, Colorado","Census Tract 85.33, Adams County, Colorado",co,140,0,ACSSF,1093,,,,,8,1,,,,8533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
8001008534,14000US08001008534,"Census Tract 85.34, Adams County, Colorado","Census Tract 85.34, Adams County, Colorado",co,140,0,ACSSF,1094,,,,,8,1,,,,8534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
8001008535,14000US08001008535,"Census Tract 85.35, Adams County, Colorado","Census Tract 85.35, Adams County, Colorado",co,140,0,ACSSF,1095,,,,,8,1,,,,8535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
8001008536,14000US08001008536,"Census Tract 85.36, Adams County, Colorado","Census Tract 85.36, Adams County, Colorado",co,140,0,ACSSF,1096,,,,,8,1,,,,8536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008537,14000US08001008537,"Census Tract 85.37, Adams County, Colorado","Census Tract 85.37, Adams County, Colorado",co,140,0,ACSSF,1097,,,,,8,1,,,,8537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
8001008538,14000US08001008538,"Census Tract 85.38, Adams County, Colorado","Census Tract 85.38, Adams County, Colorado",co,140,0,ACSSF,1098,,,,,8,1,,,,8538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008539,14000US08001008539,"Census Tract 85.39, Adams County, Colorado","Census Tract 85.39, Adams County, Colorado",co,140,0,ACSSF,1099,,,,,8,1,,,,8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
8001008540,14000US08001008540,"Census Tract 85.40, Adams County, Colorado","Census Tract 85.40, Adams County, Colorado",co,140,0,ACSSF,1100,,,,,8,1,,,,8540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
8001008541,14000US08001008541,"Census Tract 85.41, Adams County, Colorado","Census Tract 85.41, Adams County, Colorado",co,140,0,ACSSF,1101,,,,,8,1,,,,8541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
8001008542,14000US08001008542,"Census Tract 85.42, Adams County, Colorado","Census Tract 85.42, Adams County, Colorado",co,140,0,ACSSF,1102,,,,,8,1,,,,8542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
8001008543,14000US08001008543,"Census Tract 85.43, Adams County, Colorado","Census Tract 85.43, Adams County, Colorado",co,140,0,ACSSF,1103,,,,,8,1,,,,8543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
8001008544,14000US08001008544,"Census Tract 85.44, Adams County, Colorado","Census Tract 85.44, Adams County, Colorado",co,140,0,ACSSF,1104,,,,,8,1,,,,8544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008545,14000US08001008545,"Census Tract 85.45, Adams County, Colorado","Census Tract 85.45, Adams County, Colorado",co,140,0,ACSSF,1105,,,,,8,1,,,,8545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
8001008546,14000US08001008546,"Census Tract 85.46, Adams County, Colorado","Census Tract 85.46, Adams County, Colorado",co,140,0,ACSSF,1106,,,,,8,1,,,,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008547,14000US08001008547,"Census Tract 85.47, Adams County, Colorado","Census Tract 85.47, Adams County, Colorado",co,140,0,ACSSF,1107,,,,,8,1,,,,8547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
8001008548,14000US08001008548,"Census Tract 85.48, Adams County, Colorado","Census Tract 85.48, Adams County, Colorado",co,140,0,ACSSF,1108,,,,,8,1,,,,8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
8001008549,14000US08001008549,"Census Tract 85.49, Adams County, Colorado","Census Tract 85.49, Adams County, Colorado",co,140,0,ACSSF,1109,,,,,8,1,,,,8549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
8001008550,14000US08001008550,"Census Tract 85.50, Adams County, Colorado","Census Tract 85.50, Adams County, Colorado",co,140,0,ACSSF,1110,,,,,8,1,,,,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
8001008551,14000US08001008551,"Census Tract 85.51, Adams County, Colorado","Census Tract 85.51, Adams County, Colorado",co,140,0,ACSSF,1111,,,,,8,1,,,,8551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
