SITUS_ZIP,TOTAL_VALUE
80249-8656,270600
80205-5307,311900
80205-4202,324500
80211-4518,489800
80239-4335,236500
None,1634700
None,302100
80211-3054,530000
80206-4239,100
80218-1635,926700
80219-4714,225700
80216-2220,441400
80249-7613,276300
80204-1736,425300
80203-4026,465000
80123-1026,284500
80224-2705,415600
None,100
80203-3919,1753600
80206-4627,3400000
80210-3339,343900
80211-2513,283900
80209-2624,1469900
80210-5649,400900
None,282100
80239-3743,225800
80231-5614,187500
80219-5232,285000
80219-3913,259500
80209-1923,529700
None,1844000
80249-8724,468400
80212-2351,611200
80212-1429,482400
80204-1029,281800
80224-2828,441800
80219-2041,209700
80219-2629,121300
80211-2715,426700
80246-1018,952100
80209-2209,496100
80222-7623,373400
80210-6332,327400
80218-4024,1157500
80211-2012,498200
80210-5638,2134800
80239-3706,219100
80249-8199,272000
80219-1537,597300
80220-5806,765100
80212-1742,518200
None,100
80210-2823,1290000
80205-4056,292800
80207-3428,339600
None,100
80219-4265,248700
80210-2207,178500
80219-2564,225800
80218-3943,724100
80210-5924,1781700
80220-3343,249600
80206-4440,732400
None,672100
80209-2184,293000
80237-1508,342600
80207-3928,442600
80231-4186,377900
80206-4031,645900
80210-6532,730100
80210-3532,396700
80205-3842,296700
None,100
80230-6169,374400
80219-5243,301600
80212-1639,557000
80204-2941,197800
80220-5653,2840400
80249-8546,502100
80206-4105,3637200
80209-2466,536400
80211-3479,587100
80205-2017,2633100
80219-5306,343300
None,100
80249-7004,265800
80219-5816,210700
80239-6213,234600
80221-1125,294700
80218-3305,423500
80220-1544,665600
80211-2110,519400
80220-2839,379900
80204-3201,245900
80207-1024,271300
80219-3209,200500
80207-1050,260500
80210-6946,1111200
80221-1246,249200
80219-2144,248400
None,200
80221-1538,329400
80222-3820,433400
80224-2133,418900
80204-3048,197500
80210-6036,507500
80206-2619,495300
80223-3332,215100
80207-3425,509000
80219-1440,186700
80219-4154,401000
80204-4632,241500
None,177500
80227-3532,354100
80246-1012,1570200
80211-4539,468900
80231-3972,259300
80207-3918,444100
80221-1217,197900
80249-8179,259700
80206-2645,3318900
80207-3840,496500
80207-1824,480200
80238-2608,535500
80249-7525,275600
80249-8264,295300
80222-7230,412000
80237-1745,398200
80239-3632,234400
80222-4459,323900
80219-5822,254200
80236-2231,254400
80205-5703,470300
80210-2816,1284600
80221-1214,292800
80205-4747,315100
80207-3815,769000
None,373000
80249-7458,397500
None,307400
None,5927200
80219-4541,219100
80207-3046,558700
None,270400
80219-4409,282300
80205-4510,398200
80219-2149,230700
80238-3415,553500
80222-7560,319600
80231-5612,202100
80249-8045,236400
80204-3103,145100
80220-5248,430000
80223-2731,242400
80231-4755,417900
80249-7474,313600
80219-4129,248700
None,50100
80237-2112,433400
80212-2236,376100
80209-2426,514600
80249-8081,216700
80238-2954,584500
80219-3629,223300
80219-2619,401400
80210-4015,387800
80211-4713,494900
None,100
80207-3250,492000
80224-1979,417500
80211-1513,382300
None,108500
80238-2539,544400
80216-2739,149600
80211-1719,520800
80220-5761,1796700
80219-5424,231400
80249-7157,369800
80210-4125,464600
80211-2707,611900
80204-4642,174500
80211-1767,428200
80220-6037,363300
80204-3936,968200
80231-4183,400800
80211-3045,508200
80223-3338,295000
80211-1609,558500
80209-4326,452100
80239-3746,272300
80220-3229,245300
80222-6721,376600
80205-2805,505000
80220-1056,200
80236-2256,294300
80220-2407,408600
80235-3159,841500
80223-3704,248800
80239-4995,210100
80204-1189,1069300
80222-6404,413200
80123-0666,621400
80237-1221,601100
80207-1430,239600
80221-1129,272300
80222-4729,311600
80210-5708,365500
80207-1038,242400
80204-3143,197200
80207-3155,455800
80207-3807,445900
80222-6538,256900
80211-3202,377600
80220-2647,429800
80207-1117,285000
80207-2639,452700
80238-2528,404200
80239-2006,1687000
80221-1219,285700
80207-2303,269200
None,420800
80218-3420,1820100
None,635100
80218-4024,1373100
80219-3842,257600
80209-4029,495100
80249-6503,320800
80222-4455,367600
80220-2527,628900
80227-5432,317600
80249-7227,248300
80246-1479,1898900
80205-5651,595800
80204-4544,319100
80235-3037,841400
80207-3221,337400
80230-6136,720000
80221-1520,261800
80219-3477,239800
80207-3418,413000
80203-3809,532700
80206-3443,421000
80207-2201,237300
80210-4033,446400
80239-4997,212200
80211-2706,522100
80211-1450,437200
80218-3924,1475400
80231-2682,324200
80204-3540,230900
80224-1211,332400
None,None
80211-3618,411800
80206-4449,1131300
80207-2142,227600
80219-4414,267300
80224-1210,418500
80221-1518,212000
80211-4032,435000
80216-2224,220400
80209-4715,862900
80219-5661,288200
80224-1343,447300
80221-1237,188900
None,480200
80219-3355,225800
None,380500
80219-5009,262100
80207-1321,279500
80227-3424,330800
80224-2509,363900
80209-2602,2070900
80249-8085,240400
80239-3815,203200
80211-3244,622500
80219-3246,160200
80220-2713,287800
80210-6324,544200
80238-2906,555600
80219-3653,205400
80210-3121,788400
None,100
80219-5621,356100
80223-2235,221000
80222-6200,330800
80211-2113,428900
80224-1342,507900
None,668800
80239-5473,237700
80239-4065,2105100
80222-3535,270100
80207-2145,242300
80218-2615,13093500
80219-4918,278600
80224-2732,500600
80239-3716,217200
80224-1409,321900
None,653200
80220-3462,4324900
80231-4062,292000
80210-2939,371900
80210-3629,315300
80210-2210,520500
80220-5152,892300
80249-7523,282600
80249-8380,381300
80211-3137,961400
80211-2826,628800
80206-4009,505700
80212-2913,913400
80204-2801,100
None,673500
80206-3345,445900
80212-1742,422500
80246-3224,285900
80220-1957,636600
80246-2304,324000
None,1617000
80207-1946,197700
80206-3402,467000
80204-3533,267900
80210-2637,429700
80219-1514,133700
80219-4731,290400
80205-5125,613100
80123-5100,415400
80204-5025,875900
80211-2751,906100
80220-5854,1471400
80249-8577,250900
80249-8621,355700
80212-2535,410300
80205-4463,192300
80219-2203,251800
80236-3715,328700
80222-6744,315700
80231-2679,331000
80212-2152,532900
80210-1512,350200
80210-3007,347100
80123-1623,314300
80236-2823,268900
80238-4003,438100
80222-7265,353200
80205-4662,465700
80209-4038,407100
80238-2940,870700
80206-5523,832500
80238-2901,1274300
80219-5525,239800
80212-1857,428100
80231-4242,434700
80219-1526,212300
None,653500
80207-3257,341000
80237-2101,421400
80249-8310,325000
80205-4834,376300
80224-2044,22957800
80211-1321,433100
80224-2502,480200
80221-1022,310600
80211-5051,642000
80209-4608,660200
80220-5361,434200
80249-7250,245700
80219-3008,292800
80210-3310,355700
80223-4302,273100
80211-1137,435900
80219-5833,208000
80211-4815,625400
80207-2201,327100
80238-3093,633800
None,200
None,42000
80210-2812,369600
80236-2018,300100
80207-3847,435600
80219-5307,335900
80212-2352,481700
80210-2334,810300
80207-3260,509300
80220-2802,261200
80239-4998,219400
80219-3114,160500
80236-2329,340000
80211-3734,384500
80223-1832,440200
80222-6709,384000
80219-5655,362400
80222-7537,270000
80211-4640,429400
80222-4713,512600
80223-1301,587500
80230-7047,1596200
80212-1652,383200
80221-1129,364300
80239-3642,243800
80212-1612,404500
80220-4431,594000
80249-8100,260500
80223-3232,465500
80222-3803,385200
80237-1635,368000
80237-1629,517900
80219-1619,184100
80210-4123,512300
80219-5342,246500
80207-1211,292300
80249-7454,353900
80219-4810,266000
80223-1406,586200
80221-1028,248900
80206-2409,472000
80224-2504,396000
None,435400
80205-5046,339200
None,100
80246-1125,699400
80219-1321,216400
80223-3414,240800
80221-1224,257300
80206-1772,538000
80239-5035,240900
80204-1026,361400
80211-3522,583200
80207-2660,249700
80220-2048,337500
None,13128300
80227-4148,268500
80223-4202,572100
80236-2107,333100
None,359900
80204-1147,466800
80205-3644,347700
80211-3245,368200
80219-4129,363400
None,100
None,432300
80249-8250,440200
80123-5180,737200
80212-1955,666000
80238-2472,1463800
None,1026900
80238,430800
80230-6959,815600
80219-1940,236800
80249-8606,261300
80219-1832,216300
80238-2932,823500
80210-5937,477300
80219-1914,192400
80227-4139,350000
80249-7227,273600
80220-1417,463900
80218-1408,1222000
80210-5724,454600
80222-7307,343700
80207-3920,531800
None,100
80212-2930,479800
80231-2636,303200
80239-5202,167700
None,5162200
80230-7220,330500
80222-6713,328500
80239-4962,274700
80231-2674,207800
80219-3520,268200
80220-2147,241800
80210-1906,366800
80219-4243,224400
80231-2669,196300
None,311800
80239-5047,252200
None,91000
80223-2726,231300
80212-1742,709800
80219-1022,239000
80219-5220,249300
None,266500
80206-5407,3213900
80210-3519,545900
80210-2333,550800
80219-5547,219900
80238-2675,1377500
80235-2928,361800
80227-3535,320100
80206-4414,574100
80230-6483,530900
None,100
80220-4548,461700
80237-2529,397800
80237-2128,554800
80222-3700,10946200
80212-1937,396400
80207-2834,289600
80207-3526,301200
80205-4029,307600
None,49200
80249-6684,100
None,1987800
80222-4807,193400
80205-3655,209900
80224-1331,403400
80219-3730,251700
80205-4574,315600
80237-2025,559300
80211-4730,802000
80204-2506,326200
80206-4648,2116100
80222-3709,322400
80210-2722,1126000
80205-2088,891300
80218-1027,282300
80239-6405,224700
80239-4316,235400
80231-4243,361400
80236-2147,318500
80220-5335,1057500
None,230800
80123-1988,355400
80211-3708,764400
80212-1820,424500
80209-5107,545000
80205-2937,408200
80211-3348,386200
80236-3336,388000
80219-4830,273900
None,789300
80207-3841,501800
80231-5616,189200
80212-1741,480100
80219-6801,416000
80238-3504,651700
80211-4505,646500
80219-4407,269200
80249-8100,250500
None,391100
80209-4733,750000
80224-2841,445100
None,99200
80231-5695,184900
80219-3660,165300
80231-4033,301200
80207-1341,286700
80210-3209,503600
80222-3515,507100
80236-3544,322900
80239-4996,331200
None,655700
80207-1118,439900
80205-3528,344700
80219-1939,248400
80236-2015,295000
80205-4559,347600
80230-7083,656200
80236-3200,439500
80218-4016,456500
80205-5118,399200
80204-4538,363200
80220-5610,786000
80209-2248,3391700
80209-2635,978600
80223-3801,228100
80209-2414,641600
80219-2306,220000
80249-7001,303300
80210-5501,530200
None,636700
80212-1100,500
80239-6437,262100
80219-2033,256500
80210-5716,439100
80219-2375,182000
80210-3009,950000
80123-1921,303200
80210-6636,339300
80219-3207,261100
80239-6492,304300
80209-4336,752600
80236-2813,265800
80207-3833,503600
80207-3955,815800
80209-5023,816900
80209-4527,725600
80238-3497,817800
80205-3344,256000
80212-1642,550300
None,100
80203-3909,377000
80210-2742,467800
80231-4904,3697500
None,669800
80204-3542,353500
80211-3357,386200
80238-3743,467500
80219-4540,188600
80123-5166,501500
80219-3108,211800
80218-4007,1977000
80207-3938,686900
80224-1214,436600
80206-1151,402800
80219-4339,214500
80246-3226,300400
80239-4009,296600
80238-2607,627300
80218-3607,538300
80204-4539,364900
80216-2537,165900
None,882700
80223-1325,238900
80210-4737,2380900
80221-1040,292700
80220-5127,944000
80210-4122,460200
80236-3322,350600
80219-4551,248400
80219-5825,229000
80211-3935,1156600
80204-1520,571300
80220-2214,193200
80210-3316,321900
None,1900
None,642700
80220-4305,363800
80219-3701,229900
None,182500
80224-1253,329200
80207-3928,395600
80220-1940,268200
80205-4953,435300
80236-2609,236500
80211-4530,436300
80211-2662,598100
None,34300
80222-3718,16163700
80220-4951,613700
80207-3021,391600
None,1503100
None,100
80236-3718,294200
80205-4321,266600
80239-3726,230800
80210-2333,559300
80216-3462,4833600
80204-4904,471500
None,100
80206-2621,453800
80239-6437,244200
None,257300
80216-2260,308000
80216-2624,186400
80216-4927,159700
80231-4173,519800
None,174000
80227-3504,299900
80219-1250,198800
80239-4283,267300
80249-8395,346500
80212-2727,299100
80211-4731,372700
80224-2726,375000
80231-4140,366800
80218-3451,338300
80211-2755,482900
80219-5040,259400
80237-1633,380600
80218-3433,587700
80239-4127,226900
80207-1339,270000
80219-2913,234500
80205-3332,269300
80210-4046,499800
80246-1154,734100
80212-2421,411600
80205-4821,510700
None,184200
80205-5289,1094400
None,527600
80227-3501,282600
80231-5694,188300
80210-5418,1371400
80219-3742,223800
80239-3745,222100
80237-2133,441000
80239-3739,202000
80211-5092,428300
80205-5319,413900
80249-7479,342700
80223-3509,262000
80210-5927,388300
80211-1614,697200
80237-2527,356300
80249-6721,261200
80219-1930,202700
None,355200
80204-1737,676800
80219-5474,218600
None,71600
None,100
80204-4735,176100
80222-4403,323600
None,1212700
80221-1306,240400
80204-3141,181500
80210-2223,505200
None,530100
80221-1213,341700
80219-3998,251000
80210-5727,414400
80249-8013,299000
80218-2850,6820000
80227-3517,329600
80205-4658,538300
80211-3508,1137100
80211-1349,439000
80239-4331,234500
80211-5128,316900
80221-1021,323800
80207-2929,288900
None,60600
80211-3357,401800
80220-4517,374300
80219-3502,144500
80204-2946,266200
80236-3351,360200
80123-0694,404700
80218-3706,735000
80210-2541,411100
80219-2221,190700
80249-7304,382500
80221-1238,218900
80238-2441,545000
80211-3443,1148300
None,809500
80222-4430,345300
80231-4729,335800
80246-1007,2780700
80210-6137,1992000
80212-2924,312100
None,64600
80207-1343,200
80211-2027,472200
80237-2213,464900
80204-3505,237000
None,289200
80211-4638,385300
80231-2613,318400
80210-2133,459500
80207-3011,402300
80202-6173,84543500
80210-5417,572200
80211-2527,342100
80205-3851,251100
80205-3428,262400
None,100
None,100
80206-3364,702700
80219-1731,210200
80223-1506,420300
80205-4735,297700
None,1248100
80209-1728,396400
80249-8106,269300
80220-1622,621200
80223-2302,205500
80249-8706,335200
80219-1717,209900
80220-6075,326500
80211-3102,337600
80211-3645,348900
80205-2622,738100
80203-3611,413200
80207-2914,292500
80239-5152,564900
80211-1612,873300
80210-5156,535100
80249-6527,263200
80205-3946,218200
80220-2558,562400
80210-1809,762500
80212-2325,387100
None,339700
None,41400
None,340000
80123-1907,292200
80239-4419,254900
None,34300
80204-1519,567800
80219-4244,242400
80211-3537,5182500
80231-5612,229400
80207-3118,518200
80204-3030,199600
80239-5605,240400
80210-3612,423700
80216-2724,216400
80247-1943,346900
80204-5033,383900
80231-2663,233700
80220-1706,453500
80210-3522,370900
80220-2149,201400
80227-4100,338800
80207-2718,499100
80219-4245,206900
None,1864700
80204-2940,188800
80210-2215,452800
80220-5992,744000
80237-2114,438100
80220-5512,526100
80205-4717,340000
80123-2166,295300
80249-7270,253700
80239-3701,255100
80238-2668,414000
80238-3226,407600
80206-1829,4530000
80207-1034,369200
80230-6974,571300
80203-3629,12400000
80216,361200
80219-3630,259500
80203-3809,459000
80207-2712,384700
None,509100
80207-1033,279000
80239-4127,210900
80238-2525,396500
80209-1727,511200
80207-1114,198900
80210-2534,499800
80246-3212,306000
80221-1362,302600
80210-2821,391400
80223-3719,236600
80246-1138,1189900
80223-3112,951300
80219-2940,369400
80205-5006,308200
80212-1209,648600
80206-3336,605900
None,635800
80239-4007,248400
80207-1949,235000
80246-3219,311800
80209-2521,823900
80220-4211,354800
80246-1455,679200
None,449700
80221-1570,221800
80211-1954,461400
80246-1105,492700
80205-4622,367000
80236-3465,323500
80210-2750,491600
80235-3049,672400
80210-2921,518700
80219-4914,291600
80219-3756,230900
80224-2104,329700
80210-4031,434100
80239-6406,245500
80207-3550,343000
80220-5612,818500
80210-4505,424600
80211-2137,411300
80211-1713,321800
80239-6017,223300
None,1621500
None,4100
None,80000
None,13970300
80204-3718,233800
80220-1459,902100
None,312700
None,42600
80210-6745,1013700
80211-5056,481900
None,274300
80239-5170,224500
None,1461000
80222-6743,555200
80206-4015,446600
80210-2231,434300
80211-6314,371800
None,464700
80220-6332,803700
80211-3033,2612600
80231-4153,361400
80249-7613,272800
None,100
None,29900
80210-5700,200
80205-3831,464100
80236-2037,307400
80207-2146,270700
80239-4206,264900
80123-0890,423700
80224-1213,267900
None,336300
80207-2747,338500
80204-2825,217100
80211-2736,758900
80221-1134,309300
80212-1954,449400
80230-6919,437200
80237-1109,616600
80239-2933,3831200
80224-1323,488100
80227-5750,298400
80223-2021,189600
80238-2658,598500
80219-5236,293100
80212-2026,319400
80205-3338,260500
80207-2945,386800
80223-3870,238100
None,541400
80239-5662,205000
None,100
80205-4240,178100
80239-5602,226100
80216-2628,515000
80206-5107,4376000
80231-4265,428600
80219-2559,233300
80211-3522,304300
80231-2672,189300
80210-2729,473300
80220-5152,623300
80204-3141,283900
80239-3842,226900
80207-2056,331000
80209-2513,1316800
80237-1629,713500
80211-1436,368800
80207-1239,328700
80219-1016,258800
80249-8201,310000
80222-4435,363600
80204-2201,1155300
80212-2015,455600
80231-2744,364000
80238-2910,595900
80231-6020,381200
80221-1311,221200
80210-6210,939400
80222-7346,330000
80249-8265,307900
80249-8397,283300
80219-6020,337600
80231-2673,156000
80211-4535,372700
80238-2416,515900
80205-3946,297500
80205-3445,306800
None,324000
80210-5117,290900
80249-7242,240300
80206-3334,974100
80239-3818,225200
80231-6412,406500
None,100
80219-2120,231400
80219-3651,278800
None,262100
80231-6040,344000
80212-2113,463100
80205-4154,471700
80123-0898,438500
80207-3147,454800
80238-2554,547000
80206-4124,514300
80238-3830,644500
80223-2634,300100
80237-2007,563000
80220-6009,430700
80239-4937,269500
80218-2526,764100
80236-2144,307100
80219-4267,308700
80223-2532,236200
80210-4518,330800
80211-1558,276800
80238-3278,436800
80230-6193,1359100
80238-3068,1143400
80227-3549,290300
80205-5135,405100
80210-3126,590700
80212-2921,386000
80238-2742,541900
80203-4109,513300
80210-6113,674200
None,273400
80220-4325,347300
None,292600
80249-7230,248900
80220-2407,505900
80210-5933,327700
80210-4110,433100
80249-6540,303900
None,100
80207-2117,450500
80223-2902,212900
None,837300
80209-2313,793900
80236-2244,345500
80249-8205,329900
80206-4418,900700
80206-3729,501100
80224-2706,507500
80219-1035,262600
80220-2442,497400
80249-8263,294800
80249-8536,358900
80205-4321,288100
None,818900
80224-2530,430700
80230-6497,538100
80220-2808,1701000
80222-4636,20700000
80204-3817,2053500
80218-2285,317700
None,379400
80239-5748,219800
80207-3735,736000
80249-8037,274300
80238-3729,379600
80249-6984,248200
80219-5041,290100
80209-4511,901100
80230-6249,630700
80219-4345,203700
None,503900
80211-1714,383100
80210-6635,355700
80223-4406,358800
None,242400
80239-3840,253700
80219-5851,230000
80210-4432,458700
80237-2123,409800
80211-1508,1300
80212-1601,433500
80220-2221,181800
80223-3533,260500
80222-6921,351400
80222-6908,405100
80219-3629,258400
80219-4842,224400
80211-3398,644500
80209-4528,724700
80220-5757,1828500
None,123600
80219-2835,270400
80219-4336,272300
80207-3261,690800
None,100
80223-2500,262900
80204-1633,385100
80209-4619,1034200
80237-1714,382500
80236-3319,403600
80210-3115,502900
80239-5126,252300
80204-3101,201200
80238-2615,498400
80249-8083,267900
80219-2784,223300
80205-3482,313900
80220-5111,221200
80211-3113,447300
80220-3450,253300
80239-5456,226100
None,100
80220-2512,474300
80218-2562,733000
80231-4261,629500
80219-6019,259200
80221-1134,246500
80211-2143,319100
80219-1142,226100
80216-3519,165600
80205-5126,456500
None,629900
80211-5028,431400
80219-1744,240000
80219-5233,281600
80211-4076,376200
80236-2436,254600
80236-3227,383700
80237-1126,592900
None,165600
80222-7320,323900
80206-3023,2777500
80207-2221,324600
80210-6327,528400
80209-3310,3708100
80222-3302,1116600
None,184500
80210-6744,710000
80212-2428,421700
80216-2719,140400
80220-4831,411100
80219-3659,296500
None,444400
80223-2325,211400
80204-3241,225600
80239-4288,277100
80222-6744,324400
80223-3315,242900
80212-2424,374300
80206-2706,555600
80205-4138,495600
None,712600
80236-2132,311700
80210-4024,347800
80219-5820,233700
80238-2691,393000
80205-4239,336500
None,293900
80209-4332,503900
80219-2724,291700
80204-2363,1166800
80220-6165,400000
80211-2027,496400
80238-3431,916800
80205-3437,325800
80249-7031,262500
80211-3108,358100
80204-2951,347500
80219-2884,232000
80249-8535,412700
80211-2819,493200
80206-4113,2163100
80212-2235,453200
80219-4204,240600
80220-3316,181200
80239-5034,241200
80222-7636,499200
80219-2284,211400
80219-4832,286100
80207-3231,425300
80239-5016,263500
80207-3725,1314000
80236-2514,215400
80205-5560,490100
80222-7111,381300
80211-2017,873100
80210-4529,354300
80211-1749,446900
80219-5655,379000
80209-4143,3835100
80206-4335,1033000
80223-1308,356800
80220-2455,524300
80220-5930,920500
80204-4644,237700
None,None
80220-2721,None
None,None
None,None
80219-5615,301700
80210-6545,415500
80249-8098,324700
80220-6116,523900
80205-2724,286400
80219-2851,222300
None,600900
80231-5694,218700
None,585100
80224-2841,447400
80249-7365,241600
80230-7057,731200
80222-4909,272000
80239-6301,223300
80220-1406,1299200
80239-5665,269600
80206-1891,537600
80204-3929,298700
80223-2224,310700
80221-1323,213100
80207-3960,474600
80220-2558,471500
80219-1227,234800
80238-2553,506100
80224-1918,357500
None,459800
80224-1246,430300
None,777600
80223-2724,247800
80239-7019,308700
80220-4728,688100
80209-2116,551700
80249-6321,9174800
80204-4539,294700
80239-3705,215000
80237-2139,397500
80249-8205,322200
80249-8208,313600
80209-1914,483700
80230-6490,919600
80123-0844,492000
80205-4664,276200
80204-5029,2901900
80204-1543,485300
80237-1343,446800
80210-2904,391400
80224-1524,472500
80237-2546,407500
80207-2619,449900
80204-5135,322000
80219-5136,295900
80219-1916,186100
80211-3823,723400
80227-3426,253300
None,650600
80249-7082,259600
80239-4976,316600
80219-3825,240200
80205-4753,346300
80211-2218,295800
80207-2927,284900
80212-2004,498700
80219-6005,224300
80219-4021,239800
80238-3281,482700
80207-3940,580900
80220-5146,638200
80227-3426,278800
80224-2013,346700
80220-5212,964000
80123-0817,443000
80222-7506,400800
80205-4145,244900
80205-5645,270100
80209-5022,541300
80220-4660,459400
80238-2724,340900
None,675300
None,933900
80219-3202,202500
80212-1446,502300
80211-4103,488200
80236-3526,386400
80222-3918,361400
80239-5174,273800
80237-1021,418300
80207-2002,343400
80212-2213,614700
80238-3282,698700
80227-3845,345200
80223-1105,299900
80211-1721,364200
80206-4440,1386600
80211-2818,545500
80205-3137,622700
80210-4009,421700
80210-4530,378300
80221-1229,249500
80224-2228,417700
80231-4060,271200
80249-8220,373900
80219-2547,182900
80249-8085,265000
80210-2214,415800
80220-2648,383300
80206-1915,361600
80249-7138,222200
80203-2880,4839800
80205-5133,467600
80203-2206,3176100
80224-2516,421800
80236-3527,392300
80239-4440,255100
80249-7265,206500
80222-4453,375300
80239-6455,283800
80211-3230,317600
80249-8074,262200
80210-2273,537800
80210-2338,623300
80204-3233,223300
80249-6998,302400
80219-3342,276900
80209-1915,504100
80238-3552,1358800
80210-3227,365900
80212-2163,460200
80212-2706,421200
80212-1604,517400
80203-3912,410700
80249-6629,234700
80239-4337,234200
80123-5176,602900
80246-2330,421200
80211-4027,508400
80209-4712,573900
80210-3516,535900
80239-6439,261500
80249-7529,256400
80221-1575,302200
80219-1129,266200
None,469300
80212-1735,585600
80223-2633,252600
None,2327600
80221-1374,296100
80212-2540,532900
80206-3745,529000
80211-2627,449800
80211-2751,952700
80238-2454,417400
80220-2497,401000
None,19700
80205-3940,374700
80210-2022,951000
80239-5453,260200
80249-8005,242300
80207-4016,365300
80218-3610,785600
80231-4505,372000
80239-7024,257900
80247-6535,375400
80207-2636,445600
80211-2302,282300
80211-4418,442500
80219-5741,259100
80209-4420,1281500
80222-4703,353400
80220-2561,456700
80209-5108,1252700
80231-4529,386500
80209-3182,494100
80239-7042,296600
80238-2744,377400
80210-3502,349900
80222-6801,299900
None,165300
80231-5615,208200
80249-7601,318100
80204-4708,203200
80238-2671,396000
80206-4027,439100
80205-5312,309700
None,231000
80209-4127,362900
80211-4066,350300
80249-8111,347700
80205-2512,1353600
80209-4036,643800
80206-3441,652000
80209-4023,482600
80219-2733,179800
80219-1435,198900
80214-3009,244500
None,450100
80209-1527,309400
80220-1926,247600
80203-4027,416000
80231-4231,325000
80211-5126,200
80223-2815,470500
80238-3023,351100
80239-3843,227700
80219-3626,209100
None,282500
80223-3840,281300
80123-1973,279600
80222-6709,276900
80239-4989,1968100
80231-8003,400400
None,100
80210-2031,1657000
80207-3415,494000
80219-2268,197900
80219-4338,197100
80211-1925,388600
80207-2636,330800
80230-6514,494000
80219-1940,149100
80210-4506,441500
80209-4022,376200
80205-5558,359800
80205-5646,505600
80222-7607,474200
80211-2144,292100
80219-3219,191700
80238-3048,387500
None,100
80222-6709,307500
80210-5820,376200
80220-4814,336600
80206-1239,1184100
80224-1215,277100
80209-4025,261500
80209-3216,1060000
80238-2909,246700
80224-1249,331400
80237-1327,473400
80211-2960,572800
80206-3903,575500
80206-1222,1120900
80223-3723,227700
80219-5008,278100
80205-5115,462300
80238-2505,357200
80218-1706,735100
80239-7021,318300
80239-3616,244700
80238-3731,508500
80204-4653,300000
80239-6054,271800
80224-2618,396400
None,1220200
80219-2236,194200
80204-3018,180600
80238-2992,826900
80238-3445,404600
80210-3125,481000
80219-5096,287600
80211-1769,685100
80210-2682,879200
80239-7044,314400
80207-3839,599600
80210-6047,413100
80207-3807,654200
80220-1540,723100
80212-2606,381300
80209-4428,503400
80212-1333,347500
80205-2628,749600
80211-5024,797200
80220-1544,533700
80206-3401,573100
80231-4039,424400
80239-4252,242300
80239-3728,225900
80224-2710,460600
80220-4930,1044700
80205-4621,593300
80249-7117,302100
80236-2444,388100
80210-1518,670600
80211-1549,309100
80203-3809,480200
80209-4221,522700
80249-7500,256400
80231-4153,417800
80223-4412,269800
None,405100
80237-2023,443900
80207-3210,426700
80210-1513,440600
80210-1911,1176000
80236-2504,248700
80220-3525,276900
80204-2965,218100
80206-3327,642600
80246-8106,406100
80211-4019,374300
80209-2114,635700
80221-1113,311500
80236-3334,353700
None,788200
80204-2993,407000
80211-5059,299200
80219-1822,248900
80223-1552,453100
80219-1344,216100
80211-1439,419800
80219-2439,207200
80227-4105,345500
None,189500
80239-6215,219500
80219-1039,225700
None,592800
80203-1315,2570500
80218-1633,297000
80204-1040,261800
80249-7121,293300
80211-1626,574300
80220-2733,279900
80205-2936,337200
80205-4254,321100
80220-2441,454600
80223-2740,254600
80237-1253,519900
80123-2110,338900
80239-6200,250200
80219-2528,218600
80239-6018,254800
80219-1842,194000
80210-2825,411600
80239-5831,270500
80238-3398,586800
80211-1257,376600
80210-6321,415300
80235-2925,51700
80221-1031,316800
80210-4133,498100
80209-4409,745500
80220-3228,257000
80219-1235,187400
80203-5911,655700
80211-1496,392100
80220-2640,357900
None,105100
80210-6632,325700
80209-2063,512800
80239-5037,237500
80231-5695,224400
80209-4378,578100
80239-5068,265100
80223-3720,272800
80218-3604,428600
80123-1866,293800
80219-2101,247600
80220-5632,881800
80237-2139,434800
80205-5645,561800
80231-3209,887200
80207-2027,853600
80220-1320,943900
80239-4260,264300
80231-4245,364200
None,368400
80219-4808,242100
80221-1134,349200
80211-2008,460300
80204-4712,208000
80219-4351,197400
80211-2055,300100
80220-1736,531000
80235-3126,509800
80205-3645,309700
80205-5303,293500
80220-1044,386800
80210-2708,693800
80222-6704,930100
None,6319000
80204-2914,229700
80216-3617,176800
80209-4204,615700
80206-5203,875100
80223-1425,330700
80239-4248,247400
80236-2308,500800
80238-2781,757400
80224-2561,375700
80210-5004,461700
80219-3824,210600
80206-4086,52452800
80219-5461,215300
80239-5403,253200
80210-1830,1191300
None,319200
80209-1726,482200
80209-4407,1193400
80227-4182,316900
80210-2525,416400
80210-6004,529800
80207-4015,401100
80231-5611,246200
80216-2520,229300
80239-5660,246900
80219-3926,197100
80207-1211,227900
80210-2835,247300
80236-2009,358500
80206-3516,400000
80209-4536,1461400
80246-2336,469000
80123-1830,227500
80218-1626,431400
80211-4025,590000
80216-2908,223400
80222-7517,341500
80224-2014,340800
80219-4343,203800
80204-1144,497400
80211-1348,503800
80210-1518,430000
80224-1323,494000
80227-4101,347700
80219-2656,210500
80237-1733,380500
80210-2240,851300
80221-1307,267000
80249-7110,276400
80211-2062,372900
80249-8053,265900
80210-2007,532200
80211-3242,606200
80210-4905,572200
80219-2326,233900
80211-5104,608700
80209-3521,2262600
80219-2121,204400
80207-4070,243400
80219-3701,245100
80227-3846,370000
None,191000
80206-2202,488200
80207-3225,627000
